,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1625,Ford Ecosport 1.5 Ti VCT AT Titanium,2013,38000,Petrol,Automatic,First,16.5 kmpl,1499 CC,110 bhp,5,6250
5886,Ford EcoSport 1.5 Ti VCT AT Titanium,2015,23000,Petrol,Automatic,First,15.63 kmpl,1499 CC,110.4 bhp,5,6800
726,Ford EcoSport 1.5 Ti VCT AT Titanium,2018,37630,Petrol,Automatic,First,15.63 kmpl,1499 CC,110.4 bhp,5,9100
4671,Ford EcoSport 1.5 Ti VCT AT Titanium BE,2016,26000,Petrol,Automatic,First,16.05 kmpl,1499 CC,110.4 bhp,5,7650
5421,Ford EcoSport 1.5 Ti VCT MT Signature,2018,13900,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5,9500
2268,Ford Ecosport 1.5 Ti VCT MT Titanium,2013,25984,Petrol,Manual,First,15.8 kmpl,1499 CC,110 bhp,5,5350
4918,Ford Ecosport 1.5 Ti VCT MT Titanium,2013,55000,Petrol,Manual,Second,15.8 kmpl,1499 CC,110 bhp,5,5200
4041,Ford Ecosport 1.5 Ti VCT MT Titanium,2017,27000,Petrol,Manual,First,15.8 kmpl,1499 CC,110 bhp,5,8300
3164,Ford Ecosport 1.5 Ti VCT MT Titanium,2013,100000,Petrol,Manual,Second,15.8 kmpl,1499 CC,110 bhp,5,6500
5215,Ford Ecosport 1.5 Ti VCT MT Titanium,2015,28232,Petrol,Manual,Second,15.8 kmpl,1499 CC,110 bhp,5,7720
5683,Ford Ecosport 1.5 Ti VCT MT Titanium,2013,58000,Petrol,Manual,First,15.8 kmpl,1499 CC,110 bhp,5,7500
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,2017,4018,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5,8250
2297,Ford EcoSport 1.5 Ti VCT MT Titanium BE,2016,7000,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5,6900
2123,Ford EcoSport 1.5 Ti VCT MT Titanium BE,2017,2000,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5,8650
5331,Ford Ecosport Signature Edition Diesel,2018,13000,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,10900
2145,Ford Endeavour 2.2 Titanium AT 4X2,2018,14000,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7,31990
5191,Ford Endeavour 2.2 Titanium AT 4X2,2019,9000,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7,32900
3446,Ford Endeavour 2.2 Trend AT 4X2,2016,75000,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7,24000
975,Ford Endeavour 2.2 Trend AT 4X2,2019,11209,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7,31150
4737,Ford Endeavour 2.2 Trend MT 4X4,2017,38681,Diesel,Manual,First,13.5 kmpl,2198 CC,157.7 bhp,7,23860
2395,Ford Endeavour 2.2 Trend MT 4X4,2016,107890,Diesel,Manual,First,13.5 kmpl,2198 CC,157.7 bhp,7,20500
3808,Ford Endeavour 2.5L 4X2,2010,154000,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7,7990
2889,Ford Endeavour 2.5L 4X2 MT,2011,68022,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7,5860
5942,Ford Endeavour 2.5L 4X2 MT,2011,119000,Diesel,Manual,Third,13.1 kmpl,2499 CC,141 bhp,7,6500
5641,Ford Endeavour 3.0L 4X4 AT,2012,45840,Diesel,Automatic,First,11.4 kmpl,2953 CC,153.86 bhp,7,8410
2144,Ford Endeavour 3.0L 4X4 AT,2010,78000,Diesel,Automatic,Second,11.4 kmpl,2953 CC,153.86 bhp,7,5340
4599,Ford Endeavour 3.0L 4X4 AT,2012,91696,Diesel,Automatic,First,11.4 kmpl,2953 CC,153.86 bhp,7,9250
5441,Ford Endeavour 3.2 Titanium AT 4X4,2017,54650,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,30350
3028,Ford Endeavour 3.2 Titanium AT 4X4,2017,61108,Diesel,Automatic,First,10.91 kmpl,,197 bhp,7,28880
5323,Ford Endeavour 3.2 Titanium AT 4X4,2017,17000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,31000
806,Ford Endeavour 3.2 Titanium AT 4X4,2017,59636,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,29200
4906,Ford Endeavour 3.2 Titanium AT 4X4,2018,15000,Diesel,Automatic,First,,3198 CC,197 bhp,7,33000
5278,Ford Endeavour 3.2 Titanium AT 4X4,2018,12000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,33500
3196,Ford Endeavour 3.2 Titanium AT 4X4,2019,9000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,35500
1076,Ford Endeavour 3.2 Titanium AT 4X4,2016,68000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7,29500
1430,Ford Endeavour 3.2 Trend AT 4X4,2018,30552,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7,32440
2669,Ford Endeavour 3.2 Trend AT 4X4,2018,51530,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7,30270
703,Ford Endeavour 3.2 Trend AT 4X4,2017,50484,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7,31120
3115,Ford Endeavour 3.2 Trend AT 4X4,2016,90000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7,26000
4425,Ford Endeavour 4x2 XLT,2007,130000,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7,6000
5871,Ford Endeavour 4x2 XLT Limited Edition,2009,180000,Diesel,Manual,First,10.9 kmpl,2499 CC,143 bhp,7,7500
1699,Ford Endeavour 4x2 XLT Limited Edition,2007,90000,Diesel,Manual,Fourth & Above,10.9 kmpl,2499 CC,143 bhp,7,3000
3800,Ford Endeavour Hurricane LE,2012,129000,Diesel,Automatic,First,12.8 kmpl,2953 CC,null bhp,,7000
482,Ford Endeavour Hurricane Limited Edition,2008,179000,Diesel,Automatic,Second,12.8 kmpl,2953 CC,156 bhp,7,4240
3163,Ford Endeavour Titanium 4X2,2019,14648,Diesel,Manual,First,12.62 kmpl,2198 CC,158 bhp,7,27360
5840,Ford Endeavour XLT TDCi 4X2,2007,155000,Diesel,Manual,First,13.1 kmpl,2499 CC,141 bhp,7,5500
4482,Ford Fiesta 1.4 Duratec EXI,2008,74000,Petrol,Manual,Second,16.6 kmpl,1388 CC,68 bhp,5,1600
1321,Ford Fiesta 1.4 Duratec EXI,2007,100000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5,1600
4490,Ford Fiesta 1.4 Duratec EXI Limited Edition,2010,107000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5,2600
3593,Ford Fiesta 1.4 Duratec ZXI,2007,125000,Petrol,Manual,Third,16.6 kmpl,1388 CC,68 bhp,5,1500
4033,Ford Fiesta 1.4 Duratec ZXI,2006,69000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5,2150
1882,Ford Fiesta 1.4 Duratorq EXI,2006,89327,Diesel,Manual,Third,17.8 kmpl,1399 CC,68 bhp,5,1550
780,Ford Fiesta 1.4 Duratorq ZXI,2007,112808,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,2050
5668,Ford Fiesta 1.4 Duratorq ZXI,2007,68000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5,1990
3290,Ford Fiesta 1.4 SXi TDCi,2008,83000,Diesel,Manual,Second,17.8 kmpl,1399 CC,null bhp,5,2400
2045,Ford Fiesta 1.4 SXi TDCi ABS,2009,55000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5,2400
2162,Ford Fiesta 1.4 SXi TDCi ABS,2008,117080,Diesel,Manual,Third,17.8 kmpl,1399 CC,68 bhp,5,2250
3710,Ford Fiesta 1.4 TDCi EXI,2011,85000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5,3200
2621,Ford Fiesta 1.4 TDCi EXI,2006,89326,Diesel,Manual,Third,17.8 kmpl,1399 CC,68 bhp,5,1550
3692,Ford Fiesta 1.4 ZXi Duratec,2008,76000,Petrol,Manual,Second,16.6 kmpl,1388 CC,68 bhp,5,1490
3094,Ford Fiesta 1.4 ZXi Leather,2007,75000,Petrol,Manual,Second,16.6 kmpl,1388 CC,68 bhp,5,2000
4784,Ford Fiesta 1.4 ZXi TDCi ABS,2009,76000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5,2750
4713,Ford Fiesta 1.5 TDCi Titanium,2014,122800,Diesel,Manual,First,25.01 kmpl,1498 CC,89.75 bhp,5,5650
472,Ford Fiesta 1.6 SXI ABS Duratec,2009,80524,Petrol,Manual,Second,15.3 kmpl,1596 CC,null bhp,5,2500
1959,Ford Fiesta 1.6 ZXI Duratec,2006,87000,Petrol,Manual,Second,15.3 kmpl,1596 CC,101 bhp,5,1370
4631,Ford Fiesta 1.6 ZXi Duratec,2010,85000,Petrol,Manual,First,15.3 kmpl,1596 CC,101 bhp,5,1460
3796,Ford Fiesta 1.6 ZXi Leather,2008,94873,Petrol,Manual,Second,15.3 kmpl,1596 CC,101 bhp,5,1850
4522,Ford Fiesta Classic 1.4 Duratorq CLXI,2011,143143,Diesel,Manual,First,17.8 kmpl,1399 CC,67 bhp,5,2100
3650,Ford Fiesta Classic 1.4 Duratorq CLXI,2013,123000,Diesel,Manual,Second,17.8 kmpl,1399 CC,67 bhp,5,4450
538,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,107000,Diesel,Manual,First,17.8 kmpl,1399 CC,67 bhp,5,3000
2504,Ford Fiesta Classic 1.4 Duratorq LXI,2015,69749,Diesel,Manual,First,18.6 kmpl,1388 CC,67 bhp,5,3820
4655,Ford Fiesta Classic 1.4 Duratorq LXI,2014,61000,Diesel,Manual,First,18.6 kmpl,1388 CC,67 bhp,5,2980
5005,Ford Fiesta EXi 1.4 TDCi Ltd,2011,52000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5,3750
2198,Ford Fiesta Titanium 1.5 TDCi,2013,96000,Diesel,Manual,Second,23.5 kmpl,1498 CC,90 bhp,5,3500
1971,Ford Figo 1.2P Titanium MT,2016,54000,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,5000
1726,Ford Figo 1.5D Titanium Plus MT,2015,1001,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,7550
5303,Ford Figo 1.5D Trend MT,2015,4311,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,4800
5849,Ford Figo 1.5D Trend MT,2016,115000,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,4500
4859,Ford Figo 2015-2019 1.2P Titanium MT,2017,23977,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,5380
477,Ford Figo 2015-2019 1.2P Titanium MT,2018,3678,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,6800
2405,Ford Figo 2015-2019 1.2P Titanium Opt MT,2017,21740,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,6420
2295,Ford Figo 2015-2019 1.2P Trend MT,2017,39419,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,4950
3989,Ford Figo 2015-2019 1.5D Ambiente MT,2016,70000,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,4600
5694,Ford Figo 2015-2019 1.5D Titanium MT,2017,36154,Diesel,Manual,Second,25.83 kmpl,1498 CC,99 bhp,5,6410
3576,Ford Figo 2015-2019 1.5D Titanium MT,2016,71000,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,5100
4241,Ford Figo 2015-2019 1.5D Titanium Plus MT,2015,45000,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,5500
1071,Ford Figo 2015-2019 1.5D Trend MT,2017,95802,Diesel,Manual,Second,25.83 kmpl,1498 CC,99 bhp,5,4550
1426,Ford Figo 2015-2019 1.5P Titanium AT,2017,16000,Petrol,Automatic,First,17.01 kmpl,1499 CC,110.4 bhp,5,5950
3432,Ford Figo Aspire 1.2 Ti-VCT Ambiente,2015,32200,Petrol,Manual,Second,18.16 kmpl,1196 CC,86.8 bhp,5,4250
5029,Ford Figo Aspire 1.2 Ti-VCT Ambiente,2016,29875,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,4850
3986,Ford Figo Aspire 1.2 Ti-VCT Titanium,2018,32709,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,6460
3337,Ford Figo Aspire 1.2 Ti-VCT Titanium,2018,24237,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,6700
4613,Ford Figo Aspire 1.2 Ti-VCT Trend,2016,18000,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,4900
764,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,28854,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,6700
5817,Ford Figo Aspire 1.5 TDCi Titanium,2016,37294,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,5750
5938,Ford Figo Aspire 1.5 TDCi Titanium Plus,2016,33554,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,6220
2882,Ford Figo Aspire 1.5 TDCi Trend,2016,72566,Diesel,Manual,First,25.83 kmpl,1498 CC,99 bhp,5,5290
4254,Ford Figo Aspire 1.5 Ti-VCT Titanium,2015,28843,Petrol,Automatic,First,17.01 kmpl,1499 CC,110.5 bhp,5,5490
229,Ford Figo Diesel,2015,70436,Diesel,Manual,First,0.0 kmpl,1498 CC,99 bhp,,3600
2921,Ford Figo Diesel Celebration Edition,2013,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.1 bhp,5,2500
1895,Ford Figo Diesel EXI,2010,90000,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,1400
1193,Ford Figo Diesel EXI,2012,36542,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,2650
3397,Ford Figo Diesel EXI,2010,78000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2250
1714,Ford Figo Diesel EXI,2012,55005,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2750
3427,Ford Figo Diesel EXI,2015,84000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,3800
2738,Ford Figo Diesel EXI,2014,45001,Diesel,Manual,Second,20.0 kmpl,,68.05 bhp,5,2550
4000,Ford Figo Diesel EXI,2011,37000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,1800
3102,Ford Figo Diesel EXI,2010,129986,Diesel,Manual,Second,,1399 CC,68 bhp,5,3200
2695,Ford Figo Diesel EXI,2010,108882,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,2400
5953,Ford Figo Diesel EXI,2012,140000,Diesel,Manual,First,20.0 kmpl,,68 bhp,5,2510
781,Ford Figo Diesel EXI,2014,74980,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,4080
4852,Ford Figo Diesel EXI,2010,107389,Diesel,Manual,Second,2 kmpl,1399 CC,68 bhp,5,1900
4915,Ford Figo Diesel EXI,2015,65542,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,3800
234,Ford Figo Diesel EXI,2012,41284,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,2500
5475,Ford Figo Diesel EXI,2011,76000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2400
2425,Ford Figo Diesel EXI Option,2012,72500,Diesel,Manual,First,18.5 kmpl,1399 CC,68 bhp,5,3120
2685,Ford Figo Diesel LXI,2010,39000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2500
2272,Ford Figo Diesel Titanium,2011,95000,Diesel,Manual,Third,20.0 kmpl,1399 CC,68 bhp,5,2350
1815,Ford Figo Diesel Titanium,2015,36000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,4950
4897,Ford Figo Diesel Titanium,2014,33000,Diesel,Manual,Second,20.0 kmpl,1399 CC,68.05 bhp,5,3250
5718,Ford Figo Diesel Titanium,2012,73500,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,2600
5551,Ford Figo Diesel Titanium,2012,32510,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,3750
2184,Ford Figo Diesel Titanium,2013,65000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,3900
61,Ford Figo Diesel Titanium,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2750
2895,Ford Figo Diesel Titanium,2012,71558,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,3300
4214,Ford Figo Diesel Titanium,2011,169000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2500
3558,Ford Figo Diesel ZXI,2014,66000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,3470
192,Ford Figo Diesel ZXI,2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2600
2092,Ford Figo Diesel ZXI,2013,71336,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,4100
2433,Ford Figo Diesel ZXI,2011,60000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2250
698,Ford Figo Diesel ZXI,2010,100002,Diesel,Manual,Third,20.0 kmpl,,68 bhp,5,1280
4786,Ford Figo Diesel ZXI,2011,30000,Diesel,Manual,First,20.0 kmpl,,68 bhp,5,3200
5439,Ford Figo Diesel ZXI,2012,110438,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,3500
4315,Ford Figo Diesel ZXI,2014,59327,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,3250
3626,Ford Figo Diesel ZXI,2015,92885,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,3560
1436,Ford Figo Diesel ZXI,2010,90000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2600
83,Ford Figo Diesel ZXI,2012,70337,Diesel,Manual,First,,1399 CC,68 bhp,5,2800
2913,Ford Figo Diesel ZXI,2011,72000,Diesel,Manual,First,,1399 CC,68 bhp,5,2900
3573,Ford Figo Diesel ZXI,2013,65287,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5,4450
847,Ford Figo Diesel ZXI,2013,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,6 bhp,5,3200
3949,Ford Figo Diesel ZXI,2013,22000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2250
4426,Ford Figo Petrol EXI,2013,60328,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,4540
5035,Ford Figo Petrol EXI,2010,78400,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5,2750
1287,Ford Figo Petrol LXI,2010,51192,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,2650
2256,Ford Figo Petrol Titanium,2010,59196,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5,2250
1787,Ford Figo Petrol Titanium,2011,65000,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,2400
3018,Ford Figo Petrol Titanium,2015,21400,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,4000
2655,Ford Figo Petrol Titanium,2010,42000,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,2400
5455,Ford Figo Petrol ZXI,2010,114703,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,1800
3532,Ford Figo Petrol ZXI,2011,51593,Petrol,Manual,Second,15.6 kmpl,,70 bhp,5,3470
5733,Ford Figo Petrol ZXI,2012,75464,Petrol,Manual,First,15.6 kmpl,,70 bhp,5,3620
1389,Ford Figo Petrol ZXI,2010,69009,Petrol,Manual,Second,,1196 CC,70 bhp,5,2400
1993,Ford Figo Petrol ZXI,2011,68465,Petrol,Manual,First,,1196 CC,,5,2950
3370,Ford Figo Petrol ZXI,2011,32000,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5,2150
2020,Ford Figo Petrol ZXI,2014,21727,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5,3350
3055,Ford Figo Petrol ZXI,2010,102016,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,2250
3128,Ford Figo Petrol ZXI,2012,23152,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5,2390
3952,Ford Figo Petrol ZXI,2011,51928,Petrol,Manual,First,15.6 kmpl,1196 CC,,5,3460
762,Ford Figo Titanium Diesel,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,99 bhp,5,2500
3254,Ford Freestyle Titanium Plus Petrol,2018,8896,Petrol,Manual,First,19.0 kmpl,1194 CC,94.68 bhp,5,7340
5249,Ford Freestyle Titanium Plus Petrol,2018,1001,Petrol,Manual,First,19.0 kmpl,1194 CC,94.68 bhp,5,7230
4478,Ford Fusion Plus 1.4 TDCi Diesel,2008,75000,Diesel,Manual,Second,17.7 kmpl,1399 CC,68 bhp,5,3000
641,Ford Ikon 1.3 CLXi,2007,92000,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,5,1250
1632,Ford Ikon 1.3 Flair,2006,27076,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,5,1600
680,Ford Ikon 1.3 Flair,2006,98293,Petrol,Manual,Second,13.8 kmpl,1299 CC,70 bhp,5,1550
3221,Ford Ikon 1.3 Flair,2002,65134,Petrol,Manual,Third,13.8 kmpl,,70 bhp,5,800
5658,Ford Ikon 1.3 Flair,2006,85000,Petrol,Manual,Second,13.8 kmpl,1299 CC,70 bhp,5,690
1228,Ford Ikon 1.3 Flair,2007,40000,Petrol,Manual,Third,,1299 CC,70 bhp,5,1100
4148,Ford Ikon 1.3 Flair,2008,59833,Petrol,Manual,Fourth & Above,13.8 kmpl,1299 CC,70 bhp,5,1970
577,Ford Ikon 1.3 LXi NXt,2004,129000,Petrol,Manual,Third,13.8 kmpl,1299 CC,70 bhp,5,1500
2006,Ford Ikon 1.4 TDCi DuraTorq,2009,75000,Diesel,Manual,First,13.8 kmpl,1399 CC,68 bhp,5,1990
4356,Ford Ikon 1.4 TDCi DuraTorq,2010,82000,Diesel,Manual,Second,13.8 kmpl,1399 CC,68 bhp,5,1000
4730,Ford Ikon 1.6 CLXI,2003,83000,Petrol,Manual,Second,14.2 kmpl,1597 CC,92 bhp,5,850
4243,Ford Ikon 1.6 ZXI NXt,2004,69870,Petrol,Manual,Second,14.2 kmpl,1597 CC,92 bhp,5,1100
4451,Ford Mustang V8,2018,21290,Petrol,Automatic,First,13.0 kmpl,4951 CC,395 bhp,4,56800
4777,Honda Accord 2.4 A/T,2008,79000,Petrol,Automatic,Second,11.7 kmpl,2354 CC,177.6 bhp,5,4850
321,Honda Accord 2.4 A/T,2011,60000,Petrol,Automatic,First,11.7 kmpl,2354 CC,177.6 bhp,5,4450
1982,Honda Accord 2.4 A/T,2011,54774,Petrol,Automatic,First,11.7 kmpl,2354 CC,177.6 bhp,5,6350
3965,Honda Accord 2.4 AT,2011,87000,Petrol,Automatic,First,11.7 kmpl,2354 CC,177.6 bhp,5,5400
5386,Honda Accord 2.4 AT,2008,95000,Petrol,Automatic,Third,11.7 kmpl,2354 CC,177.6 bhp,5,2850
3472,Honda Accord 2.4 AT,2011,85000,Petrol,Automatic,Second,11.7 kmpl,2354 CC,177.6 bhp,5,7500
1811,Honda Accord 2.4 AT,2011,62332,Petrol,Automatic,First,11.7 kmpl,2354 CC,177.6 bhp,5,5890
1514,Honda Accord 2.4 AT,2008,125000,Petrol,Automatic,Third,11.7 kmpl,2354 CC,177.6 bhp,5,2600
3237,Honda Accord 2.4 Elegance M/T,2010,80000,Petrol,Manual,First,10.2 kmpl,2354 CC,180 bhp,5,3990
3673,Honda Accord 2.4 Elegance M/T,2010,119000,Petrol,Manual,First,10.2 kmpl,2354 CC,180 bhp,5,5950
4199,Honda Accord 2.4 Inspire M/T,2009,60000,Petrol,Manual,Second,9.8 kmpl,2354 CC,180 bhp,5,3500
2480,Honda Accord 2.4 M/T,2012,64709,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5,6000
3105,Honda Accord 2.4 MT,2009,82002,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5,5750
622,Honda Accord 2.4 MT,2011,54316,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5,4290
3089,Honda Accord 2.4 MT,2010,47000,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5,3500
5046,Honda Accord 2.4 MT,2012,94989,Petrol,Manual,First,12.8 kmpl,2354 CC,177.6 bhp,5,6580
5319,Honda Accord 2001-2003 2.0 AT,2010,83000,Petrol,Automatic,Second,11.1 kmpl,2354 CC,142 bhp,5,6500
2502,Honda Accord 2001-2003 2.3 VTi L AT,2009,88000,Petrol,Automatic,First,11.1 kmpl,2354 CC,142 bhp,5,5250
3314,Honda Accord 2001-2003 2.3 VTi L AT,2010,84000,Petrol,Automatic,Second,11.1 kmpl,2354 CC,142 bhp,5,6500
4272,Honda Accord V6 AT,2006,120000,Petrol,Automatic,Second,9.0 kmpl,2997 CC,218 bhp,5,2650
1499,Honda Accord VTi-L (AT),2007,80000,Petrol,Automatic,First,11.1 kmpl,2354 CC,142 bhp,5,3000
3876,Honda Accord VTi-L AT,2009,65462,Petrol,Automatic,Third,11.1 kmpl,2354 CC,142 bhp,5,3500
3462,Honda Accord VTi-L MT,2007,86000,Petrol,Manual,Third,11.9 kmpl,2354 CC,144 bhp,5,1850
3592,Honda Amaze E i-Vtech,2015,51361,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,4940
1775,Honda Amaze E i-Vtech,2013,40000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,2900
2870,Honda Amaze E i-Vtech,2014,44753,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,4940
2175,Honda Amaze EX i-Dtech,2013,70961,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,4000
1107,Honda Amaze EX i-Vtech,2014,48000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,2750
2192,Honda Amaze S AT i-Vtech,2014,19000,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5,4750
2961,Honda Amaze S AT i-Vtech,2015,42023,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5,4340
3549,Honda Amaze S AT i-Vtech,2014,39000,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5,4450
2649,Honda Amaze S Diesel,2015,29000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,5990
4470,Honda Amaze S Diesel,2013,46500,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,3300
2653,Honda Amaze S i-DTEC,2015,60207,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,5500
2765,Honda Amaze S i-DTEC,2014,20000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5,4500
4605,Honda Amaze S i-Dtech,2014,61297,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,4350
5403,Honda Amaze S i-Dtech,2013,46992,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,3750
